zip,cluster,doctor_count
01510,root_Ac_Ac_A,1
01522,root_Ac_Ac_A,1
01801,root_Ac_Ac_A,1
01801,root_Ac_Ac_Ac,1
08002,root_Ac_Ac_A,1
12345,root_A,1
12345,root_Ac_Ac_A,1
15001,root_A,3
15001,root_Ac_Ac_A,9
15001,root_Ac_Ac_Ac,3
15003,root_Ac_Ac_A,1
15004,root_A,1
15005,root_Ac_Ac_A,1
15009,root_A,10
15009,root_Ac_Ac_A,6
15010,root_A,3
15010,root_Ac_A,1
15010,root_Ac_Ac_A,9
15010,root_Ac_Ac_Ac,1
15012,root_Ac_Ac_A,2
15014,root_Ac_Ac_A,4
15014,root_Ac_Ac_Ac,3
15017,root_A,6
15017,root_Ac_A,1
15017,root_Ac_Ac_A,12
15017,root_Ac_Ac_Ac,4
15021,root_A,1
15021,root_Ac_Ac_A,3
15022,root_Ac_Ac_Ac,2
15024,root_A,1
15024,root_Ac_Ac_A,2
15025,root_A,2
15025,root_Ac_A,2
15025,root_Ac_Ac_A,11
15025,root_Ac_Ac_Ac,3
15026,root_A,1
15031,root_Ac_Ac_A,1
15037,root_Ac_Ac_A,3
15044,root_A,1
15044,root_Ac_Ac_A,2
15044,root_Ac_Ac_Ac,2
15061,root_A,1
15061,root_Ac_Ac_A,4
15062,root_A,1
15062,root_Ac_A,1
15062,root_Ac_Ac_A,1
15062,root_Ac_Ac_Ac,1
15063,root_A,1
15063,root_Ac_Ac_A,1
15063,root_Ac_Ac_Ac,3
15065,root_A,3
15065,root_Ac_Ac_A,2
15065,root_Ac_Ac_Ac,4
15066,root_A,1
15066,root_Ac_Ac_A,1
15068,root_A,1
15068,root_Ac_Ac_A,3
15068,root_Ac_Ac_Ac,1
15084,root_Ac_A,1
15084,root_Ac_Ac_A,6
15084,root_Ac_Ac_Ac,1
15085,root_A,1
15085,root_Ac_Ac_A,1
15090,root_A,5
15090,root_Ac_A,5
15090,root_Ac_Ac_A,17
15090,root_Ac_Ac_Ac,16
15101,root_A,3
15101,root_Ac_A,1
15101,root_Ac_Ac_A,3
15101,root_Ac_Ac_Ac,1
15102,root_A,4
15102,root_Ac_A,1
15102,root_Ac_Ac_A,10
15102,root_Ac_Ac_Ac,6
15104,root_A,1
