Prscrbr_Geo_Lvl,Prscrbr_Geo_Cd,Prscrbr_Geo_Desc,Brnd_Name,Gnrc_Name,Tot_Prscrbrs,Tot_Clms,Tot_30day_Fills,Tot_Drug_Cst,Tot_Benes,GE65_Sprsn_Flag,GE65_Tot_Clms,GE65_Tot_30day_Fills,GE65_Tot_Drug_Cst,GE65_Bene_Sprsn_Flag,GE65_Tot_Benes,LIS_Bene_Cst_Shr,NonLIS_Bene_Cst_Shr,Opioid_Drug_Flag,Opioid_LA_Drug_Flag,Antbtc_Drug_Flag,Antpsyct_Drug_Flag
State,42,Pennsylvania,"1st Tier Unifine Pentips","Pen Needle, Diabetic",211,924,1392.1,21725.74,275,"",742,1136.2,17052.81,"",220,1079.35,4332.03,N,N,N,N
State,42,Pennsylvania,"1st Tier Unifine Pentips Plus","Pen Needle, Diabetic",298,1009,1452.2,26011.63,351,"",669,941.3,16707.5,"",218,1265.6,3361.11,N,N,N,N
State,42,Pennsylvania,Abacavir,"Abacavir Sulfate",252,2656,2924.6,780819.48,373,"",1026,1191.1,318526.46,"",151,1430.29,9066.64,N,N,N,N
State,42,Pennsylvania,Abacavir-Lamivudine,"Abacavir Sulfate/Lamivudine",268,3308,3391.1,2157876.46,434,"",1149,1202,779274.93,"",149,1887.77,16980.05,N,N,N,N
State,42,Pennsylvania,Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,24,156,168,221890.83,22,"",59,67,91165.07,*,"",88.36,0,N,N,N,N
State,42,Pennsylvania,Abelcet,"Amphotericin B Lipid Complex",12,128,133.2,117556.46,46,"",86,90.8,88360.19,"",31,77.95,16958.78,N,N,N,N
State,42,Pennsylvania,Abilify,Aripiprazole,280,1728,1907.7,1960119.82,259,"",456,504,428110.57,"",72,3612.58,41654.94,N,N,N,Y
State,42,Pennsylvania,"Abilify Maintena",Aripiprazole,604,7783,7786.4,14855870.41,1063,"",1226,1228,2303122.54,"",152,15655.34,28740.11,N,N,N,Y
State,42,Pennsylvania,Abraxane,"Paclitaxel Protein-Bound",3,15,15,84958.93,"",*,"","","",*,"",11.1,0,N,N,N,N
State,42,Pennsylvania,Absorica,Isotretinoin,6,25,25,35578.21,"",*,"","","",*,"",49.5,4169.67,N,N,N,N
State,42,Pennsylvania,Abstral,"Fentanyl Citrate",9,165,165,1527823.27,16,"",51,51,424361.07,*,"",118.65,17715.4,Y,N,N,N
State,42,Pennsylvania,"Acamprosate Calcium","Acamprosate Calcium",278,826,928.3,129037.45,288,"",322,378,52508.16,"",115,957.78,12746.73,N,N,N,N
State,42,Pennsylvania,Acanya,"Clindamycin Phos/Benzoyl Perox",13,25,34,14622.5,14,"",13,16,6257.89,*,"",44.95,628.53,N,N,N,N
State,42,Pennsylvania,Acarbose,Acarbose,1175,9554,14581.8,416697.3,1871,"",8248,12754.2,364399.89,"",1598,4980.6,117487.84,N,N,N,N
State,42,Pennsylvania,Accolate,Zafirlukast,12,60,84,20181.87,"","",39,57,14071.71,*,"",26.75,3409.53,N,N,N,N
State,42,Pennsylvania,Accupril,"Quinapril Hcl",143,550,1280.5,191368.19,126,#,"","","",#,"",260.59,18309.86,N,N,N,N
State,42,Pennsylvania,Accuretic,Quinapril/Hydrochlorothiazide,28,95,221,28987.36,23,#,"","","",#,"",66,77.53,N,N,N,N
State,42,Pennsylvania,"Acebutolol Hcl","Acebutolol Hcl",1345,8868,17403.6,263557.94,1725,"",8357,16563,249921.98,"",1631,2328.15,104543.14,N,N,N,N
State,42,Pennsylvania,Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,14,63,75,17417.13,45,"",27,27,5198.31,"",18,60.66,415.69,Y,N,N,N
State,42,Pennsylvania,Acetaminophen-Codeine,"Acetaminophen With Codeine",17485,142265,144726.1,1501573.9,71013,"",109248,111367.2,1146161.99,"",56230,44533.42,409501.45,Y,N,N,N
State,42,Pennsylvania,Acetazolamide,Acetazolamide,2748,15612,18679.2,1693257.49,5365,"",11916,14168,1154932.9,"",4504,10046.8,222931.63,N,N,N,N
State,42,Pennsylvania,"Acetic Acid","Acetic Acid",972,4483,4612.2,82039.01,1617,"",3235,3348.2,60601.16,"",1243,832.37,13881.28,N,N,N,N
