pharma_company,hub_score
"Akrimax Pharmaceuticals, LLC",0.00017786191303777226
"BioDelivery Sciences International, Inc.",0.005289796855503709
"Braeburn Pharmaceuticals, Inc.",0.00017211637839450496
"Collegium Pharmaceutical, Inc.",0.017972432944126208
Daiichi Sankyo Inc.,0.0003719521727216637
"Depomed, Inc.",0.9156554051694064
Egalet US Inc,0.0003102426834084591
Endo Pharmaceuticals Inc.,1.1941006142162774e-06
"Fresenius Kabi USA, LLC",2.3150931623789298e-07
INSYS Therapeutics Inc,3.9904854521586584e-05
Indivior Inc.,0.0014208273066575938
Mallinckrodt LLC,-1.5506077314677885e-21
Mission Pharmacal Company,8.428902251763563e-07
Mylan Institutional Inc.,1.304748400358252e-05
Mylan Pharmaceuticals Inc.,9.542438487102189e-05
Mylan Specialty L.P.,6.742043304946924e-08
"Orexo US, Inc.",1.671025731145561e-05
PFIZER INC.,0.0024044735024724823
"Pernix Therapeutics Holdings, Inc.",0.04627514624826616
Purdue Pharma L.P.,0.009677849421779905
Purdue Transdermal Technologies L.P.,-3.0344944080248254e-19
"Sentynl Therapeutics, Inc.",6.189496716866073e-05
The Medicines Company,3.8844459575840474e-05
"Vertical Pharmaceuticals, LLC",3.7330761843243944e-06
