Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Covered_Recipient_NPI,Total_Opioid_Payments
"Akrimax Pharmaceuticals, LLC",1023245883.0,15.21
"Akrimax Pharmaceuticals, LLC",1144267790.0,15.88
"Akrimax Pharmaceuticals, LLC",1194731547.0,126.11
"Akrimax Pharmaceuticals, LLC",1275505919.0,24.68
"Akrimax Pharmaceuticals, LLC",1316042591.0,12.11
"Akrimax Pharmaceuticals, LLC",1336159508.0,123.56
"Akrimax Pharmaceuticals, LLC",1366494296.0,11.33
"Akrimax Pharmaceuticals, LLC",1578561023.0,10.85
"Akrimax Pharmaceuticals, LLC",1669460481.0,32.900000000000006
"Akrimax Pharmaceuticals, LLC",1770558413.0,11.96
"Akrimax Pharmaceuticals, LLC",1831214535.0,29.34
"Akrimax Pharmaceuticals, LLC",1902901135.0,15.48
"Akrimax Pharmaceuticals, LLC",1912907130.0,24.82
"BioDelivery Sciences International, Inc.",1003022500.0,23.86
"BioDelivery Sciences International, Inc.",1013295856.0,10.84
"BioDelivery Sciences International, Inc.",1023174034.0,106.79
"BioDelivery Sciences International, Inc.",1023245883.0,17.53
"BioDelivery Sciences International, Inc.",1033111778.0,42.839999999999996
"BioDelivery Sciences International, Inc.",1033177357.0,13.99
"BioDelivery Sciences International, Inc.",1043292477.0,11.2
"BioDelivery Sciences International, Inc.",1053351924.0,16.39
"BioDelivery Sciences International, Inc.",1053434399.0,13.64
"BioDelivery Sciences International, Inc.",1083614192.0,53.09
"BioDelivery Sciences International, Inc.",1083875124.0,14.42
"BioDelivery Sciences International, Inc.",1104856657.0,12.48
"BioDelivery Sciences International, Inc.",1104869031.0,13.7
"BioDelivery Sciences International, Inc.",1104939495.0,16.99
"BioDelivery Sciences International, Inc.",1114185402.0,16.51
"BioDelivery Sciences International, Inc.",1114189792.0,23.86
"BioDelivery Sciences International, Inc.",1124013511.0,18.68
"BioDelivery Sciences International, Inc.",1124065966.0,13.35
"BioDelivery Sciences International, Inc.",1124227103.0,50.43
"BioDelivery Sciences International, Inc.",1134102957.0,42.510000000000005
"BioDelivery Sciences International, Inc.",1134210172.0,52.35
"BioDelivery Sciences International, Inc.",1144213646.0,12.72
"BioDelivery Sciences International, Inc.",1154550663.0,14.98
"BioDelivery Sciences International, Inc.",1164636676.0,52.36
"BioDelivery Sciences International, Inc.",1174526180.0,10.75
"BioDelivery Sciences International, Inc.",1184625840.0,13.81
"BioDelivery Sciences International, Inc.",1205868668.0,10.9
"BioDelivery Sciences International, Inc.",1215943568.0,14.49
"BioDelivery Sciences International, Inc.",1235135997.0,65.57
"BioDelivery Sciences International, Inc.",1235224841.0,11.09
"BioDelivery Sciences International, Inc.",1255331088.0,13.67
"BioDelivery Sciences International, Inc.",1255394714.0,10.5
"BioDelivery Sciences International, Inc.",1255449476.0,15.5
"BioDelivery Sciences International, Inc.",1265548648.0,22.95
"BioDelivery Sciences International, Inc.",1275585481.0,14.72
"BioDelivery Sciences International, Inc.",1275623506.0,33.61
"BioDelivery Sciences International, Inc.",1275691982.0,16.39
"BioDelivery Sciences International, Inc.",1285653048.0,1122.26
"BioDelivery Sciences International, Inc.",1285847699.0,25.0
"BioDelivery Sciences International, Inc.",1306823992.0,24.23
"BioDelivery Sciences International, Inc.",1306827092.0,17.33
"BioDelivery Sciences International, Inc.",1336159508.0,49.16
"BioDelivery Sciences International, Inc.",1336310432.0,12.88
"BioDelivery Sciences International, Inc.",1356383368.0,11.18
"BioDelivery Sciences International, Inc.",1366494296.0,7812.33
"BioDelivery Sciences International, Inc.",1366555104.0,26.450000000000003
"BioDelivery Sciences International, Inc.",1376505040.0,49.48
"BioDelivery Sciences International, Inc.",1407267099.0,26.36
"BioDelivery Sciences International, Inc.",1417118506.0,17.61
"BioDelivery Sciences International, Inc.",1417994682.0,22.009999999999998
"BioDelivery Sciences International, Inc.",1427021351.0,20.28
"BioDelivery Sciences International, Inc.",1427024728.0,16.11
"BioDelivery Sciences International, Inc.",1427056555.0,69.82
"BioDelivery Sciences International, Inc.",1437288776.0,31.7
"BioDelivery Sciences International, Inc.",1437413242.0,103.74
"BioDelivery Sciences International, Inc.",1447200258.0,15.16
"BioDelivery Sciences International, Inc.",1447419981.0,16.36
"BioDelivery Sciences International, Inc.",1457470429.0,10.45
"BioDelivery Sciences International, Inc.",1487668174.0,22.95
"BioDelivery Sciences International, Inc.",1497738934.0,27.56
"BioDelivery Sciences International, Inc.",1497755631.0,218.68
"BioDelivery Sciences International, Inc.",1497789135.0,10.66
"BioDelivery Sciences International, Inc.",1508854274.0,27.1
"BioDelivery Sciences International, Inc.",1518056472.0,25.76
"BioDelivery Sciences International, Inc.",1528087764.0,24.66
"BioDelivery Sciences International, Inc.",1528407392.0,10.68
"BioDelivery Sciences International, Inc.",1538113360.0,41.66
"BioDelivery Sciences International, Inc.",1538136031.0,52.36
"BioDelivery Sciences International, Inc.",1538137070.0,14.31
"BioDelivery Sciences International, Inc.",1538328869.0,66.81
"BioDelivery Sciences International, Inc.",1548203839.0,16.26
"BioDelivery Sciences International, Inc.",1548380124.0,13.2
"BioDelivery Sciences International, Inc.",1558361790.0,22.759999999999998
"BioDelivery Sciences International, Inc.",1568437929.0,12.1
"BioDelivery Sciences International, Inc.",1578546024.0,16.44
"BioDelivery Sciences International, Inc.",1578556536.0,22.38
"BioDelivery Sciences International, Inc.",1578710927.0,138.2
"BioDelivery Sciences International, Inc.",1588638894.0,42.75
"BioDelivery Sciences International, Inc.",1588649701.0,27.46
"BioDelivery Sciences International, Inc.",1588722185.0,11.85
"BioDelivery Sciences International, Inc.",1588767180.0,10.84
"BioDelivery Sciences International, Inc.",1598056293.0,15.51
"BioDelivery Sciences International, Inc.",1598853301.0,31.79
"BioDelivery Sciences International, Inc.",1619975984.0,23.64
"BioDelivery Sciences International, Inc.",1629008172.0,26.740000000000002
"BioDelivery Sciences International, Inc.",1629052188.0,87.16
"BioDelivery Sciences International, Inc.",1629066329.0,37.78
"BioDelivery Sciences International, Inc.",1629082763.0,139.99
"BioDelivery Sciences International, Inc.",1639366727.0,14.57
"BioDelivery Sciences International, Inc.",1639460132.0,15.38
"BioDelivery Sciences International, Inc.",1649341983.0,23.21
"BioDelivery Sciences International, Inc.",1649429986.0,11.17
"BioDelivery Sciences International, Inc.",1669481578.0,49.349999999999994
"BioDelivery Sciences International, Inc.",1679522312.0,10.5
"BioDelivery Sciences International, Inc.",1679789010.0,31.439999999999998
"BioDelivery Sciences International, Inc.",1710927306.0,13.14
"BioDelivery Sciences International, Inc.",1720375793.0,74.89
"BioDelivery Sciences International, Inc.",1730103177.0,13.96
"BioDelivery Sciences International, Inc.",1750320461.0,30.17
"BioDelivery Sciences International, Inc.",1750351003.0,43.55
"BioDelivery Sciences International, Inc.",1760531545.0,29.25
"BioDelivery Sciences International, Inc.",1760577324.0,3528.45
"BioDelivery Sciences International, Inc.",1770533267.0,50.5
"BioDelivery Sciences International, Inc.",1780767319.0,136.16
"BioDelivery Sciences International, Inc.",1801169248.0,52.35
"BioDelivery Sciences International, Inc.",1801824354.0,29.25
"BioDelivery Sciences International, Inc.",1811949381.0,30.96
"BioDelivery Sciences International, Inc.",1811960560.0,52.36
"BioDelivery Sciences International, Inc.",1821019175.0,212.31
"BioDelivery Sciences International, Inc.",1821127721.0,11.07
"BioDelivery Sciences International, Inc.",1831194505.0,35.78
"BioDelivery Sciences International, Inc.",1841218559.0,23.54
"BioDelivery Sciences International, Inc.",1841255643.0,28.54
"BioDelivery Sciences International, Inc.",1851554927.0,117.55
"BioDelivery Sciences International, Inc.",1861462798.0,44.93
"BioDelivery Sciences International, Inc.",1861494023.0,14.74
"BioDelivery Sciences International, Inc.",1871713370.0,1496.96
"BioDelivery Sciences International, Inc.",1902033707.0,33.61
"BioDelivery Sciences International, Inc.",1902833718.0,23.7
"BioDelivery Sciences International, Inc.",1902901135.0,10.95
"BioDelivery Sciences International, Inc.",1922196724.0,2598.7
"BioDelivery Sciences International, Inc.",1932362944.0,13.15
"BioDelivery Sciences International, Inc.",1942262720.0,11.48
"BioDelivery Sciences International, Inc.",1942277561.0,15.22
"BioDelivery Sciences International, Inc.",1962407015.0,22.52
"BioDelivery Sciences International, Inc.",1962502492.0,9331.55
"BioDelivery Sciences International, Inc.",1972728145.0,112.93
"BioDelivery Sciences International, Inc.",1982626818.0,13.83
"BioDelivery Sciences International, Inc.",1982672523.0,21.27
"BioDelivery Sciences International, Inc.",1992091888.0,13.51
"BioDelivery Sciences International, Inc.",1992908503.0,73.46
"Braeburn Pharmaceuticals, Inc.",1013903285.0,11.07
"Braeburn Pharmaceuticals, Inc.",1013914605.0,16.57
"Braeburn Pharmaceuticals, Inc.",1013958032.0,27.27
"Braeburn Pharmaceuticals, Inc.",1023197977.0,17.14
"Braeburn Pharmaceuticals, Inc.",1033260120.0,10.51
"Braeburn Pharmaceuticals, Inc.",1063434520.0,41.94
"Braeburn Pharmaceuticals, Inc.",1063460368.0,154.43
"Braeburn Pharmaceuticals, Inc.",1063779742.0,15.11
"Braeburn Pharmaceuticals, Inc.",1104813096.0,23.6
"Braeburn Pharmaceuticals, Inc.",1104881440.0,11.83
"Braeburn Pharmaceuticals, Inc.",1114922945.0,4200.0
"Braeburn Pharmaceuticals, Inc.",1124055371.0,16.92
"Braeburn Pharmaceuticals, Inc.",1144384041.0,11.36
"Braeburn Pharmaceuticals, Inc.",1144394859.0,19.98
"Braeburn Pharmaceuticals, Inc.",1154549889.0,12.88
"Braeburn Pharmaceuticals, Inc.",1164453775.0,19.98
"Braeburn Pharmaceuticals, Inc.",1164548020.0,14.27
"Braeburn Pharmaceuticals, Inc.",1164680906.0,13.32
"Braeburn Pharmaceuticals, Inc.",1184612475.0,13.32
"Braeburn Pharmaceuticals, Inc.",1194703413.0,95.53
"Braeburn Pharmaceuticals, Inc.",1194830455.0,11.65
"Braeburn Pharmaceuticals, Inc.",1205028149.0,848.9399999999999
"Braeburn Pharmaceuticals, Inc.",1235103938.0,14.26
"Braeburn Pharmaceuticals, Inc.",1235135997.0,12.02
"Braeburn Pharmaceuticals, Inc.",1245350354.0,19.91
"Braeburn Pharmaceuticals, Inc.",1245526060.0,15.62
"Braeburn Pharmaceuticals, Inc.",1275586679.0,12.71
"Braeburn Pharmaceuticals, Inc.",1285788075.0,16.18
"Braeburn Pharmaceuticals, Inc.",1285963801.0,30.01
"Braeburn Pharmaceuticals, Inc.",1295718823.0,13.32
"Braeburn Pharmaceuticals, Inc.",1306823992.0,17.61
"Braeburn Pharmaceuticals, Inc.",1306864947.0,111.56
"Braeburn Pharmaceuticals, Inc.",1316048093.0,19.07
"Braeburn Pharmaceuticals, Inc.",1326081241.0,95.53
"Braeburn Pharmaceuticals, Inc.",1326121427.0,15.12
"Braeburn Pharmaceuticals, Inc.",1326167883.0,11.39
"Braeburn Pharmaceuticals, Inc.",1366544710.0,95.94
"Braeburn Pharmaceuticals, Inc.",1376533679.0,18.37
"Braeburn Pharmaceuticals, Inc.",1386643823.0,17.7
"Braeburn Pharmaceuticals, Inc.",1396164026.0,17.7
"Braeburn Pharmaceuticals, Inc.",1396847877.0,15.49
"Braeburn Pharmaceuticals, Inc.",1427105451.0,11.16
"Braeburn Pharmaceuticals, Inc.",1457709776.0,95.53
"Braeburn Pharmaceuticals, Inc.",1467682260.0,16.24
"Braeburn Pharmaceuticals, Inc.",1497716849.0,14.57
"Braeburn Pharmaceuticals, Inc.",1497869937.0,15.62
"Braeburn Pharmaceuticals, Inc.",1508064668.0,75.91
"Braeburn Pharmaceuticals, Inc.",1518056472.0,11.31
"Braeburn Pharmaceuticals, Inc.",1528039476.0,30.62
"Braeburn Pharmaceuticals, Inc.",1538129507.0,17.3
"Braeburn Pharmaceuticals, Inc.",1538318233.0,13.56
"Braeburn Pharmaceuticals, Inc.",1548239429.0,13.56
"Braeburn Pharmaceuticals, Inc.",1568426419.0,26.85
"Braeburn Pharmaceuticals, Inc.",1588617922.0,12.7
"Braeburn Pharmaceuticals, Inc.",1588638894.0,19.06
"Braeburn Pharmaceuticals, Inc.",1588643233.0,18.24
"Braeburn Pharmaceuticals, Inc.",1588722185.0,11.21
"Braeburn Pharmaceuticals, Inc.",1609843721.0,12.5
"Braeburn Pharmaceuticals, Inc.",1619973674.0,15.06
"Braeburn Pharmaceuticals, Inc.",1629082763.0,18.95
"Braeburn Pharmaceuticals, Inc.",1639121270.0,19.98
"Braeburn Pharmaceuticals, Inc.",1669479283.0,15.07
"Braeburn Pharmaceuticals, Inc.",1669684460.0,32.02
"Braeburn Pharmaceuticals, Inc.",1770533267.0,52.16
"Braeburn Pharmaceuticals, Inc.",1780688366.0,95.53
"Braeburn Pharmaceuticals, Inc.",1780767319.0,17.76
"Braeburn Pharmaceuticals, Inc.",1811187099.0,12.21
"Braeburn Pharmaceuticals, Inc.",1831147180.0,59.28
"Braeburn Pharmaceuticals, Inc.",1841226545.0,29161.04
"Braeburn Pharmaceuticals, Inc.",1841395928.0,76.67999999999999
"Braeburn Pharmaceuticals, Inc.",1841470739.0,19.74
"Braeburn Pharmaceuticals, Inc.",1871778126.0,31.229999999999997
"Braeburn Pharmaceuticals, Inc.",1891815775.0,19.98
"Braeburn Pharmaceuticals, Inc.",1902144512.0,17.74
"Braeburn Pharmaceuticals, Inc.",1902833718.0,11.22
"Braeburn Pharmaceuticals, Inc.",1912968702.0,10.91
"Braeburn Pharmaceuticals, Inc.",1942283593.0,10.61
"Braeburn Pharmaceuticals, Inc.",1962502492.0,31421.41
"Braeburn Pharmaceuticals, Inc.",1972815082.0,28.86
"Braeburn Pharmaceuticals, Inc.",1982626818.0,16.42
"Collegium Pharmaceutical, Inc.",1003120213.0,12.4
"Collegium Pharmaceutical, Inc.",1013064377.0,19.87
"Collegium Pharmaceutical, Inc.",1013978626.0,71.66
"Collegium Pharmaceutical, Inc.",1023245883.0,24.32
"Collegium Pharmaceutical, Inc.",1033111778.0,66.43
"Collegium Pharmaceutical, Inc.",1033173471.0,57.92
"Collegium Pharmaceutical, Inc.",1053434399.0,22.689999999999998
"Collegium Pharmaceutical, Inc.",1053687053.0,109.81
"Collegium Pharmaceutical, Inc.",1063472918.0,12.16
"Collegium Pharmaceutical, Inc.",1063488781.0,27.19
"Collegium Pharmaceutical, Inc.",1063633733.0,121.91
"Collegium Pharmaceutical, Inc.",1073514584.0,77.69
"Collegium Pharmaceutical, Inc.",1073515375.0,14.62
"Collegium Pharmaceutical, Inc.",1073544375.0,17.5
"Collegium Pharmaceutical, Inc.",1073581948.0,13.68
"Collegium Pharmaceutical, Inc.",1073771515.0,34.22
"Collegium Pharmaceutical, Inc.",1083607840.0,192.29
"Collegium Pharmaceutical, Inc.",1083614192.0,63.57
"Collegium Pharmaceutical, Inc.",1083689301.0,26.89
"Collegium Pharmaceutical, Inc.",1093756207.0,12.69
"Collegium Pharmaceutical, Inc.",1093833311.0,13.47
"Collegium Pharmaceutical, Inc.",1093986697.0,109.82
"Collegium Pharmaceutical, Inc.",1104869031.0,16.77
"Collegium Pharmaceutical, Inc.",1104912476.0,50.269999999999996
"Collegium Pharmaceutical, Inc.",1104969708.0,10.56
"Collegium Pharmaceutical, Inc.",1114102910.0,117.65
"Collegium Pharmaceutical, Inc.",1114185402.0,48.519999999999996
"Collegium Pharmaceutical, Inc.",1114189792.0,15.2
"Collegium Pharmaceutical, Inc.",1114273893.0,336.75
"Collegium Pharmaceutical, Inc.",1114910627.0,13.19
"Collegium Pharmaceutical, Inc.",1114988748.0,17.49
"Collegium Pharmaceutical, Inc.",1124029368.0,39.28
"Collegium Pharmaceutical, Inc.",1124137088.0,57.010000000000005
"Collegium Pharmaceutical, Inc.",1124227103.0,13.81
"Collegium Pharmaceutical, Inc.",1134149677.0,18.24
"Collegium Pharmaceutical, Inc.",1134191893.0,12.24
"Collegium Pharmaceutical, Inc.",1134192610.0,18.87
"Collegium Pharmaceutical, Inc.",1134276736.0,131.47
"Collegium Pharmaceutical, Inc.",1144258138.0,15.97
"Collegium Pharmaceutical, Inc.",1154321891.0,160.66
"Collegium Pharmaceutical, Inc.",1154328136.0,74.97
"Collegium Pharmaceutical, Inc.",1154385565.0,23.18
"Collegium Pharmaceutical, Inc.",1154491785.0,10.42
"Collegium Pharmaceutical, Inc.",1154532612.0,28.48
"Collegium Pharmaceutical, Inc.",1164410833.0,29.759999999999998
"Collegium Pharmaceutical, Inc.",1164434015.0,11.86
"Collegium Pharmaceutical, Inc.",1164587697.0,14.83
"Collegium Pharmaceutical, Inc.",1164644548.0,15.15
"Collegium Pharmaceutical, Inc.",1174526180.0,48.269999999999996
"Collegium Pharmaceutical, Inc.",1174596720.0,71.3
"Collegium Pharmaceutical, Inc.",1174740419.0,27.16
"Collegium Pharmaceutical, Inc.",1174751929.0,16.32
"Collegium Pharmaceutical, Inc.",1184643405.0,3655.17
"Collegium Pharmaceutical, Inc.",1194721563.0,8527.09
"Collegium Pharmaceutical, Inc.",1194729996.0,36.480000000000004
"Collegium Pharmaceutical, Inc.",1194731547.0,86.89999999999999
"Collegium Pharmaceutical, Inc.",1205837051.0,16.9
"Collegium Pharmaceutical, Inc.",1205883139.0,198.45
"Collegium Pharmaceutical, Inc.",1215257217.0,54.94
"Collegium Pharmaceutical, Inc.",1225021439.0,49.74
"Collegium Pharmaceutical, Inc.",1225144520.0,42.84
"Collegium Pharmaceutical, Inc.",1235154469.0,125.0
"Collegium Pharmaceutical, Inc.",1245222991.0,234.2
"Collegium Pharmaceutical, Inc.",1245225473.0,288.4
"Collegium Pharmaceutical, Inc.",1245271568.0,24.200000000000003
"Collegium Pharmaceutical, Inc.",1245285741.0,45.08
"Collegium Pharmaceutical, Inc.",1245394295.0,25.380000000000003
"Collegium Pharmaceutical, Inc.",1255347852.0,14.29
"Collegium Pharmaceutical, Inc.",1275517641.0,56.28
"Collegium Pharmaceutical, Inc.",1275522914.0,84.05
"Collegium Pharmaceutical, Inc.",1275543571.0,267.53999999999996
"Collegium Pharmaceutical, Inc.",1275585481.0,65.96000000000001
"Collegium Pharmaceutical, Inc.",1285963801.0,10.54
"Collegium Pharmaceutical, Inc.",1295733301.0,156.57
"Collegium Pharmaceutical, Inc.",1316042591.0,27.28
"Collegium Pharmaceutical, Inc.",1316146384.0,30.99
"Collegium Pharmaceutical, Inc.",1316942022.0,26.46
"Collegium Pharmaceutical, Inc.",1326005786.0,284.01
"Collegium Pharmaceutical, Inc.",1326023888.0,151.71
"Collegium Pharmaceutical, Inc.",1326093352.0,45.31
