labelname,prscrbr_npi,total_opioid_payments,opioid_day_suply,opioid_clms,tot_day_suply,tot_clms
"Akrimax Pharmaceuticals, LLC",1023245883,15.21,,,,
"Akrimax Pharmaceuticals, LLC",1144267790,15.88,,,,
"Akrimax Pharmaceuticals, LLC",1194731547,126.11,,,,
"Akrimax Pharmaceuticals, LLC",1275505919,24.68,,,,
"Akrimax Pharmaceuticals, LLC",1316042591,12.11,,,,
"Akrimax Pharmaceuticals, LLC",1336159508,123.56,,,,
"Akrimax Pharmaceuticals, LLC",1366494296,11.33,,,,
"Akrimax Pharmaceuticals, LLC",1578561023,10.85,,,,
"Akrimax Pharmaceuticals, LLC",1669460481,32.900002,,,,
"Akrimax Pharmaceuticals, LLC",1770558413,11.96,,,,
"Akrimax Pharmaceuticals, LLC",1831214535,29.34,,,,
"Akrimax Pharmaceuticals, LLC",1902901135,15.48,,,,
"Akrimax Pharmaceuticals, LLC",1912907130,24.82,,,,
"BioDelivery Sciences International, Inc.",1003022500,23.860001,,,,
"BioDelivery Sciences International, Inc.",1013295856,10.84,,,,
"BioDelivery Sciences International, Inc.",1023174034,106.79,,,,
"BioDelivery Sciences International, Inc.",1023245883,17.530001,,,,
"BioDelivery Sciences International, Inc.",1033111778,42.84,,,,
"BioDelivery Sciences International, Inc.",1033177357,13.99,,,,
"BioDelivery Sciences International, Inc.",1043292477,11.2,,,,
"BioDelivery Sciences International, Inc.",1053351924,16.389999,,,,
"BioDelivery Sciences International, Inc.",1053434399,13.64,,,,
"BioDelivery Sciences International, Inc.",1083614192,53.09,,,,
"BioDelivery Sciences International, Inc.",1083875124,14.42,,,,
"BioDelivery Sciences International, Inc.",1104856657,12.48,,,,
"BioDelivery Sciences International, Inc.",1104869031,13.7,,,,
"BioDelivery Sciences International, Inc.",1104939495,16.99,,,,
"BioDelivery Sciences International, Inc.",1114185402,16.51,,,,
"BioDelivery Sciences International, Inc.",1114189792,23.860001,,,,
"BioDelivery Sciences International, Inc.",1124013511,18.68,,,,
"BioDelivery Sciences International, Inc.",1124065966,13.35,,,,
"BioDelivery Sciences International, Inc.",1124227103,50.43,,,,
"BioDelivery Sciences International, Inc.",1134102957,42.509998,,,,
"BioDelivery Sciences International, Inc.",1134210172,52.349998,,,,
"BioDelivery Sciences International, Inc.",1144213646,12.72,,,,
"BioDelivery Sciences International, Inc.",1154550663,14.98,,,,
"BioDelivery Sciences International, Inc.",1164636676,52.360001,,,,
"BioDelivery Sciences International, Inc.",1174526180,10.75,,,,
"BioDelivery Sciences International, Inc.",1184625840,13.81,,,,
"BioDelivery Sciences International, Inc.",1205868668,10.9,,,,
"BioDelivery Sciences International, Inc.",1215943568,14.49,,,,
"BioDelivery Sciences International, Inc.",1235135997,65.57,,,,
"BioDelivery Sciences International, Inc.",1235224841,11.09,,,,
"BioDelivery Sciences International, Inc.",1255331088,13.67,,,,
"BioDelivery Sciences International, Inc.",1255394714,10.5,,,,
"BioDelivery Sciences International, Inc.",1255449476,15.5,,,,
"BioDelivery Sciences International, Inc.",1265548648,22.950001,,,,
